Iteration,Time,Fitness,Wastage
1,227,11,60
2,89,11,60
3,162,12,10060
4,99,12,10060
5,204,12,10060
6,132,12,10060
7,236,11,60
8,162,11,60
9,187,11,60
10,194,12,10060
11,222,11,60
12,248,11,60
13,253,12,10060
14,271,11,60
15,288,12,10060
16,301,11,60
17,327,11,60
18,335,11,60
19,356,12,10060
20,377,12,10060
21,389,12,10060
22,409,12,10060
23,423,11,60
24,442,11,60
25,467,11,60
26,495,11,60
27,527,11,60
28,558,11,60
29,548,12,10060
30,554,11,60
31,566,11,60
32,599,11,60
33,608,12,10060
34,620,11,60
35,637,12,10060
36,658,12,10060
37,679,12,10060
38,700,11,60
39,710,11,60
40,716,12,10060
41,752,11,60
42,770,12,10060
43,788,12,10060
44,819,11,60
45,896,12,10060
46,871,12,10060
47,874,11,60
48,880,11,60
49,886,12,10060
50,899,12,10060
51,915,11,60
52,963,12,10060
53,979,12,10060
54,975,12,10060
55,993,12,10060
56,1011,12,10060
57,1025,11,60
58,1045,11,60
59,1064,11,60
60,1114,11,60
61,1156,11,60
62,1157,12,10060
63,1163,11,60
64,1163,11,60
65,1172,11,60
66,1300,11,60
67,1252,11,60
68,1300,12,10060
69,1266,11,60
70,1323,12,10060
71,1436,11,60
72,1355,12,10060
73,1375,11,60
74,1358,12,10060
75,1422,12,10060
76,1436,12,10060
77,1412,12,10060
78,1430,11,60
79,1450,11,60
80,1475,12,10060
81,1495,12,10060
82,1516,12,10060
83,1516,11,60
84,1515,12,10060
85,1565,12,10060
86,1563,12,10060
87,1570,12,10060
88,1590,11,60
89,1614,11,60
90,1661,12,10060
91,1672,11,60
92,1768,12,10060
93,1731,12,10060
94,1769,11,60
95,1794,12,10060
96,1759,11,60
97,1766,12,10060
98,1783,11,60
99,1821,11,60
100,2040,12,10060
